title,genre,release_date,cast,directors,genres,movie_tone,plot
Johar-Mehmood in Goa,"Comedy, Action, Adventure",1965-04-01,"['Mehmood', 'Simi Garewal', 'I.S. Johar']",['I.S. Johar'],"['Comedy', 'Action', 'Adventure']","['exciting', 'tense', 'dark']","Mary and Peter fall in love with each other and are about to get married, when Peter is asked to re-join his regiment to go to war. Shortly thereafter, he is missing, believed to be dead, leaving behind a devastated Mary who subsequently gives birth to twins, and leaves them on the doorsteps of two Goan households, and becomes a nun. Twenty four years later, India is a free country, while Goa is under the rule of the Portugese, Mary is the Mother Superior; Peter, who is still alive, is the Deputy Superintendent of Police in Goa, who has been entrusted the task of apprehending two revolutionaries by the name of Ram and Rahim - none other than his very own sons. Watch what happens when duo unleash a series of attacks against the oppressive Portugese regime, including robbing the Bank of Portugal, disrobing an arrogant Superindent of Police, Alburqueue, then setting his house on fire, joining hands with dreaded bandit Daler Singh, and abducting the daughter of the Goa's Hakim, Rita."
Main Hoon Jadugar,"Fantasy, Adventure",1965-04-07,"['Chitra', 'Paidi Jairaj', 'Ravikant']",['Jugal Kishore'],"['Fantasy', 'Adventure']",['neutral'],A special effects/fantasy/adventure film based on a folk tale
Waqt,"Crime, Drama, Romance",1965-07-28,"['Akhtar Mirza', 'Akhtar-Ul-Iman']",['Yash Chopra'],"['Crime', 'Drama', 'Romance']","['serious', 'neutral', 'heartwarming']","A businessman's family is torn apart by an earthquake and reunited years later in a courtroom where father and sons stand opposed in the roles of accused, lawyer, and witness."
Waqt,"Crime, Drama, Romance",1965-07-28,"['Akhtar Mirza', 'Akhtar-Ul-Iman']",['Yash Chopra'],"['Crime', 'Drama', 'Romance']","['serious', 'neutral', 'heartwarming']","A chronic illness leaves Ishwar with only a few months to live. His son Aditya is extremely reckless. To make him realise his responsibilities, Ishwar throws his son out of the house."
Oonche Log,"Comedy, Drama, Family",1965-08-16,"['K. Balachander', 'Phani Majumdar', 'Arjun Dev Rashk']",['Phani Majumdar'],"['Comedy', 'Drama', 'Family']","['serious', 'neutral', 'lighthearted']","Oonche Log (Hindi: ऊँचे लोग, lit. High Society People) was a 1965 Hindi film directed by Phani Majumdar. It was based on play Major Chandrakant by noted Tamil film director-screenwriter, K. Balachander. The main character roles of this film were played by Ashok Kumar, Raaj Kumar and Feroz Khan. Its lyrics were composed by Majrooh Sultanpuri and the music was given by Chitragupta.  The film was shot at Vauhini Studios, Chennai, was also noted as first big hit of newcomer Feroz Khan, who was noted for his sensitive performance against veterans like Raaj Kumar and Ashok Kumar. At the 13th National Film Awards it won the award for Second Best Feature Film in Hindi. It was later remade by K. Balachander himself as Major Chandrakanth (1966), starring J. Jayalalitha and Muthuraman."
Khandan,"Drama, Music",1965-09-23,"['N.S. Bedi', 'A. Bhimsingh', 'Rajendra Krishan']",['A. Bhimsingh'],"['Drama', 'Music']","['thought-provoking', 'serious', 'neutral']","An ancestral property is distributed between two brothers, then a couple of years later, bitterness divides their families. An outsider in the younger brother's family tries to kill the others, which is resisted in time, and they reunite."
Bahu Beti,"Drama, Family",1965-09-27,"['Rajinder Singh Bedi', 'Pt. Mahadevshastri Joshi', 'T. Prakash Rao']",['T. Prakash Rao'],"['Drama', 'Family']","['serious', 'neutral', 'uplifting']","Shanta, a widow who wants to question the orthodox society, falls in love with Shekhar, a poet. In her quest to fight the system, Shanta's father-in-law, a retired judge, supports her."
Purnima,"Family, Romance",1965-10-01,['S.M. Abbas'],['Narendra Suri'],"['Family', 'Romance']","['neutral', 'uplifting', 'heartwarming']","Indian film greats Meena Kumari, Dharmendra, Anita Guha and Mehmood take the leads in this classic tale of star-crossed lovers forced to marry others. Prakash and Purnima end up with very different lives than they'd planned for, but when both of their spouses die in a car crash, they're presented with a new chance for happiness. Will the pair seize the opportunity, or will they succumb to the obstacles still before them?"
Mere Sanam,"Romance, Music, Drama",1965-11-13,"['Narendra Bedi', 'Rajinder Singh Bedi']",['Amar Kumar'],"['Romance', 'Music', 'Drama']","['thought-provoking', 'serious', 'neutral']","Neena and her mother stop by at a motel where she falls in love with Kumar, another occupant. When the two decide to get married, Neena learns of Kumar's dark past."
Lootera,"Action, Drama, Music, Romance",1965-11-18,"['Omar Khayam Saharanpuri', 'Harbans']",['Harbans'],"['Action', 'Drama', 'Music', 'Romance']","['uplifting', 'serious', 'tense']",A Bollywood historical action film.
Lootera,"Action, Drama, Music, Romance",1965-11-18,"['Omar Khayam Saharanpuri', 'Harbans']",['Harbans'],"['Action', 'Drama', 'Music', 'Romance']","['uplifting', 'serious', 'tense']","In a village, a young archaeologist falls in love with a landlord's daughter. Their union seems doomed. But destiny brings them together a year later. Will they live happily ever after?"
Love and Murder,"Mystery, Horror",1966-01-01,"['Prithviraj Kapoor', 'Ramesh Deo', 'Jaymala Adarsh']",['Raja Paranjpe'],"['Mystery', 'Horror']","['dark', 'neutral', 'intense']",A robber steals the money from a bank heists from his accomplices. He hides at his sister’s place but gets murdered. She soon is lured to a resort called the Rainbow Hotel where the other gang members also are. Soon one after another they are murdered.
Sannata,"Horror, Mystery",1966-01-01,"['Anil Chatterjee', 'Tanuja Samarth', 'Raj Mehra']",['M. Sabharwal'],"['Horror', 'Mystery']","['dark', 'neutral', 'intense']",Kunwar Vijay Singh is found murdered and and from that time on a mysterious light can seen in a nearby fort while in the forest the haunting moan of an unknown woman is heard.
Sannata,"Horror, Mystery",1966-01-01,"['Anil Chatterjee', 'Tanuja Samarth', 'Raj Mehra']",['M. Sabharwal'],"['Horror', 'Mystery']","['dark', 'neutral', 'intense']","A wealthy businessman is murdered for the sake of wealth. His daughter Sapna is in love with Vinod. Dhanpat Rai, the businessman's cousin, despises Sapna's relationship with Vinod and sends her to a hostel. However the two decide to go straight with Dhanpat Rai and head to his grand manor. Soon the lovers find Dhanpat Rai dead and stuffed in a suitcase. Sapna and Vinod pair up with the police to speed up the investigation. Meanwhile the other members in the manor are being brutally killed by a burnt-face assailant, who has plans of his own."
Lal Bangla,"Mystery, Horror",1966-01-01,"['Prithviraj Kapoor', 'Sheikh Mukhtar', 'Sujit Kumar']",['Jugal Kishore'],"['Mystery', 'Horror']","['dark', 'neutral', 'intense']","While investigating a murder case that involves his younger brother, a police inspector discovers a ghost roaming the ruins of an ancient palace."
Khoon Ka Khoon,"Action, Romance, Drama",1966-01-01,"['Kamran', 'Nishi Kohli', 'Shyam Kumar']",['Kamran'],"['Action', 'Romance', 'Drama']","['uplifting', 'thought-provoking', 'tense']","The story revolves around the life of Kesarsingh, a fearless and furious swordsman of the King who killed many enemies, leading him invincible, and appointed as the princess' bodyguard  but he fell in love with her. They together ran away from the kingdom and started a new life but when she gets pregnant, he moved to another village and married a woman and changed his name. Years later, Lakhan, his son, comes to know the truth and visits his stepmother and brother, leading to consequences."
Smuggler,"Action, Crime",1966-01-01,"['Sheikh Mukhtar', 'Kumkum', 'Sanjeev Kumar']",['Aspi Irani'],"['Action', 'Crime']","['dark', 'neutral', 'exciting']","A respected officer keeps a gangster's money box, leading to his arrest, dismissal, and jail time, and then joining the same gangsters."
Smuggler,"Action, Crime",1966-01-01,"['Sheikh Mukhtar', 'Kumkum', 'Sanjeev Kumar']",['Aspi Irani'],"['Action', 'Crime']","['dark', 'neutral', 'exciting']","Ajith Singh gives up his life as a smuggler for the sake of his son. However, things take a turn when he crosses path with another smuggler, who kills his son's headmaster."
Chhota Bhai,"Comedy, Drama",1966-01-01,['Inder Raj Anand'],['Kolli Pratyagatma'],"['Comedy', 'Drama']","['serious', 'neutral', 'lighthearted']",A mother faces challenges when she is asked to look after her husband's very young step-brother.
Rustam Kaun ?,"Adventure, Horror",1966-01-01,['G. Baxi'],['Dharam Kumar'],"['Adventure', 'Horror']","['dark', 'neutral', 'intense']",Two friends accidently enter the valley of death where more than adventure awaits them!
Do Dilon Ki Dastaan,Romance,1966-01-01,"['Sitti Behari', 'Pradeep Kumar', 'Ramesh Pant']","['Pramod Chakravorty', 'Pradeep Kumar']",['Romance'],"['neutral', 'uplifting', 'heartwarming']","A tale of two hearts, a story of young love. One heart belonged to the educated, rich man's daughter from City, ""Chanchal."" The other was simple good hearted ""Chaila"" from village."
Do Dilon Ki Dastaan,Romance,1966-01-01,"['Sitti Behari', 'Pradeep Kumar', 'Ramesh Pant']","['Pramod Chakravorty', 'Pradeep Kumar']",['Romance'],"['neutral', 'uplifting', 'heartwarming']","While multi-millionaire Mr. Saxena is busy announcing the engagement of Vijay, his grandson, he, himself, is busy driving a horse-carriage, and getting into fisticuffs with hoodlums. Vijay is quite unhappy with his grandpa about his engagement with Hong Kong returned Aarti Verma, the only daughter of wealthy magnate Roshanlal Verma. For Vijay is in love with an unknown young woman he saw at the airport. Unable to get her out of his mind, he is thrilled when he gets to meet her again in Srinagar and finally finds out that she is his tour guide, Sona Mathur. After a few misunderstandings, Sona too falls in love with him. Then things change unexpectedly after they meet with an accident, whereby Vijay temporarily loses the use of his legs. When he limps over to Sona's room, he is told that she has been discharged. And the person she has been discharged with is a young man by the name of Kamal - who is also in love with Sona. Vijay must now find out why Sona has deserted him, and if at all Kamal is the reason behind this desertion.—rAjOo (gunwanti@hotmail.com)"
Main Wohi Hoon,Mystery,1966-01-01,"['Sohai Effendi', 'Yusuf Naqvi']",['A. Shamsheer'],['Mystery'],['neutral'],"Young and beautiful Asha Rai lives a wealthy life-style with her dad, Dhyanchand, in a palatial house. She has three suitors who are anxious to get a place in her heart and marry her. One is Jagdish, a wealthy businessman; the second is Rajan, another wealthy man, heir to a vast estate; and the third is Vijay, who has just found employment as an Engineer. When Asha selects Vijay to be her life-partner, her father opposes this, as he would like his daughter to be financially happy, especially with a young man like Jagdish, who he approves of. When Asha maintains that she only loves Vijay, he invites him to his house, and thereafter Dhyanchand's dead body is found. The prime suspects are Asha's three suitors, with Vijay leading this list as he has the motive as well as he was last seen with the deceased. Watch how events unfold when the police are involved and how they conclude their investigation."
Daadi Maa,"Action, Comedy, Drama, Family",1966-01-01,['Mukhram Sharma'],['L.V. Prasad'],"['Action', 'Comedy', 'Drama', 'Family']","['uplifting', 'tense', 'serious']",Parvati seeks to heal the breach between her husband and his mother
Laadla,"Drama, Family",1966-01-01,"['Balraj Sahni', 'Nirupa Roy', 'Pandari Bai']","['R. Krishnan', 'S. Panju']","['Drama', 'Family']","['thought-provoking', 'serious', 'neutral']","Seeta marries a poor man against her family's wishes and becomes pregnant. Savitri, her sister, is childless and yearns to have a baby so Seeta gives away her child to her sister."
Laadla,"Drama, Family",1966-01-01,"['Balraj Sahni', 'Nirupa Roy', 'Pandari Bai']","['R. Krishnan', 'S. Panju']","['Drama', 'Family']","['thought-provoking', 'serious', 'neutral']","Laadla is the story of the kind-hearted Raju, who lives with his disabled mom. One day Raju, on his way to a job interview, saves the life of a rich textile mill owner who offers him a job in his factory. The mill is run by his ambitious daughter Sheetal, whose competitive attitude and open insults have made her many enemies. Raju and Sheetal clash often, until Sheetal tries to get the upper hand by forcing Raju to marry her, even though he has already fallen in love with Kaajal."
Girl From Sahyadri,"Drama, Thriller",1966-01-01,"['Shalini Abhyankar', 'Keshavrao Date', 'Vatsala Deshmukh']",['Shantaram Rajaram Vankudre'],"['Drama', 'Thriller']","['serious', 'tense', 'suspenseful']","Ladki Sahyadri Ki is a 1966 bilingual social drama starring Shalini Abhyankar, Sandhya, Vatsala Deshmukh and others. Rani is asked to join a theatre troupe but her family does not allow girls to work. The village temple needs to be repaired and to help pay for it, she takes it on. She gets into trouble when the stage-owner makes advances towards her and she snubs him. This man is responsible for the temple repair work and he stops it out of spite. Can she make sure the temple is restored?"
Tarzan and the Magical Lamp,"Fantasy, Adventure",1966-01-01,['Iqbal Nadeem'],['Baboobhai Bhanji'],"['Fantasy', 'Adventure']","['neutral', 'scary', 'uplifting']","Tarzan, born of an exiled queen, falls in love with a gypsy whose people conspire with palace officials to destroy him. A magical monster-woman is also in the mix."
Gaban,"Crime, Drama, Romance",1966-01-01,"['Akhtar-Ul-Iman', 'Krishan Chopra', 'Bhanu Pratap']","['Krishan Chopra', 'Hrishikesh Mukherjee']","['Crime', 'Drama', 'Romance']","['serious', 'neutral', 'heartwarming']","Based on novel by Munshi Prem Chand. Believing himself to be a suspect for embezzlement in British India, a man must testify against non-violent freedom-fighters."
Love in Tokyo,"Drama, Music, Romance, Comedy",1966-01-01,"['Sachin Bhowmick', 'Agha Jani Kashmiri']",['Pramod Chakravorty'],"['Drama', 'Music', 'Romance', 'Comedy']","['serious', 'neutral', 'heartwarming']","Gayetridevi sends her son, Ashok to get her grandson from Japan. Gayetridevi had an elder son, who married a girl of Japanese origin without her blessings. She wants Ashok to get married to Sarita, but Ashok does not show any interest in Sarita. In Japan, Ashok meets with Asha and both fall in love. Asha's uncle wants Asha to marry Pran, but Asha does not like Pran and runs away with Ashok. Pran runs down Ashok with his car, and Ashok is hospitalized and may lose his eye-sight. Gayetridevi will soon find out which of the two girls - Asha - who she does not approve of - or Sarita, will take of her blind son."
Gogola,"Science Fiction, Horror",1966-01-01,['Shambhu Nema'],['Balwant Dave'],"['Science Fiction', 'Horror']","['dark', 'neutral', 'intense']",A Bollywood clone of Gojira. It seems to be the only monster movie to come from Bollywood.
Dus Lakh,"Comedy, Drama, Musical",1966-01-01,"['Bhakri', 'Devendra Goel']",['Devendra Goel'],"['Comedy', 'Drama', 'Musical']","['serious', 'neutral', 'lighthearted']","Life changes drastically for Lala Gokulchand (Om Prakash), a lowly shopkeeper, when a rich relative dies and he becomes an overnight millionaire. But his lucky break has a flip side in that it makes him a target for a scheming con artist (Pran) with plans to ruin him. Devendra Goel directs this classic Bollywood family drama with a supporting cast that includes Sanjay Khan, Babita Kapoor, Helen, Manorama and Baby Sonia."
Biwi Aur Makan,Comedy,1966-01-01,['Rajinder Singh Bedi'],['Hrishikesh Mukherjee'],['Comedy'],"['neutral', 'lighthearted', 'funny']","Four young men re-locate from a village in India, to a big city. While attempting to access accomodation, they are repeatedly told that rooms will only be rented to married couples, not to bachelors. Frustrated at this, two of them disguise themselves as women, and pose as wives for the other two males. They are able to secure accomodation with the Mishra family. Complications arise when the two ""women"" fall in love with Mishra's two lovely daughters - with results that can only be described as hilarious."
Thakur Jarnail Singh,Action,1966-01-01,['Pandit Madhur'],['Mohammed Hussain'],['Action'],"['dark', 'neutral', 'exciting']","Film starring Dara Singh, Sheikh Mukhtar and Helen"
Dil Ne Phir Yaad Kiya,"Drama, Romance",1966-01-01,['G.L. Rawal'],['C.L. Rawal'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']",A man faces a problem when his very own brother decides to marry the woman he loves.
Dil Ne Phir Yaad Kiya,"Drama, Romance",1966-01-01,['G.L. Rawal'],['C.L. Rawal'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","Rahul Khanna (Vinay Anand) and Sonia Chopra (Pooja Batra) are in love, they seek the blessings of their elders, Mahendra Pratap Khanna (Kiran Kumar), Mr. Chopra (Sadashiv Amrapurkar) and Mrs. Chopra (Kunika), and get married. During their honeymoon, Sonia, who is very ambitious, tells Rahul that he should start his own business, away from his father, and stand on his own feet. Rahul does so, and starts a modelling agency. His immediate rival is Sanjeev Verma (Faraaz Khan), who is very successful."
Mera Saaya,"Drama, Mystery",1966-01-01,"['Akhtar-Ul-Iman', 'G.R. Kamath']",['Raj Khosla'],"['Drama', 'Mystery']","['neutral', 'serious', 'emotional']","A lawyer's wife dies in his arms. Yet, another woman - identical in appearance and accused of aiding a gang of bandits - claims to be the lawyer's wife. A courtroom drama ensues."
Dil Diya Dard Liya,"Drama, Musical, Romance",1966-01-01,['Kaushal Bharati'],"['Abdul Rashid Kardar', 'Dilip Kumar']","['Drama', 'Musical', 'Romance']","['serious', 'neutral', 'heartwarming']","A kind-hearted, widowed landlord, Thakur, lives a wealthy lifestyle with his son, Ramesh; daughter, Roopa; and an adopted child, Shankar. Ramesh hates Shankar and often abuses him. Years pass by, Thakur has passed away, and all three children have grown up. While Ramesh visits a stunningly attractive Courtesan, Tara, drinks alcohol, and continues to abuse and mercilessly beat Shankar, who bears this in silence as he and Roopa are in love with each other. When Ramesh finds out that Roopa wants to wed Shankar, he has him severely beaten and thrown off a cliff. He then arranges Roopa's marriage with another wealthy man, Satish, while he continues to romance Tara and even signs over his entire estate and home to her name."
Aakhri Khat,Drama,1966-01-01,['Chetan Anand'],['Chetan Anand'],['Drama'],"['neutral', 'serious', 'emotional']","An estranged husband refuses to take up his son's responsibility after parting ways with his wife. But when he receives the news of his wife's death, he sets out in search of his son."
Afsana,"Drama, Romance",1966-01-01,"['Sachin Bhowmick', 'Ramesh Pant']",['Brij'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","Ratan and Chaman are twins brothers who love the same girl, Meera. During a fair, all three are separated. While Chaman and Meera are found, Ratan is untraceable. Years later, Chaman is no longer attracted to Meera, but in a dancing girl named Rasily, while Meera awaits word of her childhood sweetheart Ratan, who she feels is still alive. Then the unexpected happens, Chaman gets into a fight with another man, killing him, and is on the run from the police. Misunderstandings are clarified, and the law declares this to be an accidental death, and as a result Chaman returns. But this is not the same Chaman any more. For one thing, he has lost interest in Rasily, and is more interested in Meera - could it be that Ratan has returned in place of Chaman? If so, what has happened to Chaman?"
Afsana,"Drama, Romance",1966-01-01,"['Sachin Bhowmick', 'Ramesh Pant']",['Brij'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","Gopal escapes from prison and finds shelter hos Shekhar, a man who hates all women."
Sawan Ki Ghata,Romance,1966-01-01,"['Vrajendra Gaur', 'Gulshan Nanda']",['Shakti Samanta'],['Romance'],"['neutral', 'uplifting', 'heartwarming']","Sawan Ki Ghata is a 1966 Bollywood film produced and directed by Shakti Samanta. The film stars Manoj Kumar, Sharmila Tagore, Mumtaz, Pran, Madan Puri."
Biradari,Drama,1966-01-04,['O.P. Dutta'],['Ram Kamlani'],['Drama'],"['neutral', 'serious', 'emotional']","Seema lives a wealthy lifestyle with her widowed mom in Bombay, India. Her mother is a compassionate soul who rents out several rooms in a self-owned building, which is occupied by very poor and nearly destitute people. Seema's mom often ends up looking after her tenants financially and also gives them ample time to find money to pay the rent. Seema, who wants a luxurious lifestyle, has sold the building to Bihari, and is all set to evict the tenants forcibly. Watch what happens when Seema's mother and Rajan decide to confront her to try and stop this sale."
Anupama,"Family, Drama",1966-01-06,"['Rajinder Singh Bedi', 'Bimal Dutta', 'D.N. Mukherjee']",['Hrishikesh Mukherjee'],"['Family', 'Drama']","['neutral', 'serious', 'emotional']","Mohan Sharma (Tarun Bose) is a workaholic, whose life changes dramatically after his wife dies upon giving birth to their daughter Uma (Sharmila Tagore)."
Yeh Raat Phir Na Aaygi,"Mystery, Drama, Romance, Thriller, Horror",1966-01-07,"['Brij', 'Brij Katyal', 'Ramesh Pant']",['Brij'],"['Mystery', 'Drama', 'Romance', 'Thriller', 'Horror']","['scary', 'serious', 'tense']","After discovery of skeletal remains at an excavation site, a woman known to be deceased for over 2 centuries mysteriously re-surfaces to claim her lover."
Pyar Kiye Jaa,"Comedy, Romance, Drama",1966-02-18,"['N.S. Bedi', 'Chitralaya Gopu', 'Rajendra Krishan']",['C.V. Sridhar'],"['Comedy', 'Romance', 'Drama']","['thought-provoking', 'serious', 'neutral']","Widower Ramlal lives a wealthy lifestyle near Poona, India along with two daughters and a son. His daughter, Malti, is a Science Graduate; Nirmala, a matriculate, and the son, Atma, who wants his dad to finance a Hindi film which he himself will produce under the banner of 'Wah Wah Productions'"
Mamta,"Family, Music, Romance",1966-02-27,"['Krishan Chander', 'Nihar Ranjan Gupta']",['Asit Sen'],"['Family', 'Music', 'Romance']","['neutral', 'uplifting', 'heartwarming']","The son of a wealthy family, Monish falls in love with Deviyani, a girl from a considerably less privileged background. When Monish leaves to study abroad, the lovers plan to reunite, but desperate financial straits force Deviyani into a marriage with a philandering drunk instead. Deeply unhappy, she flees, taking her infant daughter with her and vanishing into thin air. Does fate have more than misery in store for the unfortunate Deviyani?"
Devar,"Romance, Crime, Drama",1966-03-04,"['K.A. Narayan', 'Sarshar Sailani']",['Mohan Segal'],"['Romance', 'Crime', 'Drama']","['thought-provoking', 'serious', 'neutral']","Wealthy Shankar and well-educated Suresh are cousins and the best of friends. A marriage is arranged for each of them (Shankar's with Madhumati, Suresh' with Shanta), but Shankar's father is against the couples meeting in person and instead each cousin meets with the other's intended. During the meeting Suresh falls in love with Madhumati and scheme switch brides. But his innocent scheme has unforeseen circumstances as Shankar's marriage quickly turns sour because Shanta despises him for being uneducated and blames him for tricking her into marriage."
Suraj,"Romance, Music, Action",1966-03-25,"['Abrar Alvi', 'Jawar N. Sitaraman']",['T. Prakash Rao'],"['Romance', 'Music', 'Action']","['exciting', 'tense', 'dark']","Vikram Singh is the Maharaja of Pratap Nagar and is very impressed with his Senapati Sangram Singh for years of loyal service. He decides to make him a Maharaja and agrees to marry his daughter, Anuradha, with his son, Pratap. Years later, Vikram sends his now grown-up Anuradha to visit the coronation of Rajkumar Pratap Singh and approve of him as her husband, and she sets off without any escort with just her maid-servant, Kalavati, for company. Shortly thereafter, Vikram is informed that Kalavati has been abducted by a bandit named Suraj Singh, he accordingly rushes over to Sangram's and this is where he discovers to his shock that Kalavati is posing as Anuradha, and it is his daughter that has been abducted by Suraj. Watch what happens when Suraj is arrested and lodged in a dungeon, and preparations are set forth for the coronation of Pratap and his subsequently marriage with Anuradha."
Suraj,"Romance, Music, Action",1966-03-25,"['Abrar Alvi', 'Jawar N. Sitaraman']",['T. Prakash Rao'],"['Romance', 'Music', 'Action']","['exciting', 'tense', 'dark']","This is a story about two brothers. The older brother is a police officer, and the younger brother, whose name is Suraj — is a regular truck driver. There is a Gulf of misunderstanding between them, as is often the case between brothers, and Suraj's Affairs are always wrong in the eyes of the elder.  But if the older one has problems, the younger one is willing to die to protect his brother's reputation. And so, independently of each other, the two brothers try to meet each other halfway. But how difficult this path is!"
Teesri Kasam,"Romance, Comedy, Drama",1966-07-01,"['Phanishwar Nath Renu', 'Nabendu Ghosh']",['Basu Bhattacharya'],"['Romance', 'Comedy', 'Drama']","['thought-provoking', 'serious', 'neutral']",A naive bullock-cart driver falls for a traveling dancer.
Dillagi,"Comedy, Drama, Romance",1966-08-06,"['Mushtaq Jalili', 'Mehmood Lucknavi']",['S.N. Banerjee'],"['Comedy', 'Drama', 'Romance']","['serious', 'neutral', 'lighthearted']","Two boys meet two girls and try to forge relationships... then things get complicated when the father of one of them dies, and his son is left with certain family obligations to attend to."
Dillagi,"Comedy, Drama, Romance",1966-08-06,"['Mushtaq Jalili', 'Mehmood Lucknavi']",['S.N. Banerjee'],"['Comedy', 'Drama', 'Romance']","['serious', 'neutral', 'lighthearted']",A new Sanskrit teacher (Dharmendra) comes to teach at a girls' school. The chemistry teacher (Hema Malini) becomes annoyed at his style of teaching. He falls in love with her and tries to win her over.
Dillagi,"Comedy, Drama, Romance",1966-08-06,"['Mushtaq Jalili', 'Mehmood Lucknavi']",['S.N. Banerjee'],"['Comedy', 'Drama', 'Romance']","['serious', 'neutral', 'lighthearted']","Two brothers -- Ranvir and Rajvir along with their parents move to Mumbai. They endure numerous hardships, but their will to survive prevails and they succeed. Soon, their parents pass away, leaving young Rajvir in the care of Ranvir. Now wealthy beyond any means, Ranvir runs the business and Rajvir lives recklessly. When Rajvir falls in love, Ranvir arranges his marriage, but to his dismay finds out that he has arranged his brother to marry the girl he loves."
Amrapali,"War, Fantasy, History, Drama, Music, Romance",1966-09-11,"['Arjun Dev Rashk', 'Balbir Singh', 'Omkar Sahib']",['Lekh Tandon'],"['War', 'Fantasy', 'History', 'Drama', 'Music', 'Romance']","['serious', 'neutral', 'heartwarming']","After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali, a well-respected royal courtesan, and must decide what his main priority is."
Tasveer,Action,1966-10-02,"['D.N. Madhok', 'Chand Pandit']",['J.B.H. Wadia'],['Action'],"['uplifting', 'tense', 'dark']","Shyam (Feroz Khan) falls in love with the face on a painting, painted by his best friend Ishrat. He finds the girl and convince her father to marry her. Brings back the girl to town and then the two love triangle starts."
Phool Aur Patthar,Romance,1966-10-12,"['Akhtar-Ul-Iman', 'O.P. Ralhan', 'Ahsan Rizvi']",['O.P. Ralhan'],['Romance'],"['neutral', 'uplifting', 'heartwarming']","Circumstances have made Shaka a career criminal. When plague empties a town of its inhabitants, he takes the opportunity to burgle a house. He finds nothing except Shanti, a widowed daughter-in-law who has been left to die by her cruel relatives. Shaka nurses her back to health. When her relatives return they are not pleased to find her alive and even less pleased to discover that someone has tried to rob them. Shanti gets the blame and a beating. Shaka saves her from worse, at the hands of brother-in-law, and the pair flee. They set up home in Shaka's house, much to the displeasure of the respectable neighbours who are all too ready to think the worst."
Teesri Manzil,"Mystery, Thriller, Comedy",1966-10-28,['Nasir Hussain'],['Vijay Anand'],"['Mystery', 'Thriller', 'Comedy']","['tense', 'suspenseful', 'neutral']","Blaming him for the suspicious death of her sister, a young woman sets out to exact revenge on a nightclub drummer. She becomes romantically involved with a charismatic young man she meets on the way, unaware that he is the suspect."
So Saal Baad,"Horror, Mystery",1966-12-29,"['Feroz Khan', 'Manmohan Krishna', 'Kumkum']",['B.K. Dubey'],"['Horror', 'Mystery']","['dark', 'neutral', 'intense']","While working at an excavation site, a young engineer (Feroz Khan) notices an abandoned mansion where he hears a female voice singing a tragic song. When he investigates, he finds a beautiful apparition; what's more, there seems to be something quite familiar about her. He wonders if this is the ghost of someone from his past life."
Hare Kanch Ki Chooriyan,"Drama, Family, Romance",1967-01-01,['Kishore Sahu'],['Kishore Sahu'],"['Drama', 'Family', 'Romance']","['serious', 'neutral', 'heartwarming']","Kishanlal, a professor, lives a peaceful life with his daughter, Mohini, and a bed-ridden wife. However, when Mohini gets pregnant, he tries to find the baby's father."
Palki,"Drama, Family, Musical",1967-01-01,"['C.L. Kavish', 'Wajahat Mirza', 'Naushad']","['Mahesh Kaul', 'S.U. Sunny']","['Drama', 'Family', 'Musical']","['neutral', 'serious', 'emotional']","Naseem lives a poor lifestyle with his widowed mom in Lucknow, India. He is well-known for his poems, and gets invited to a contest hosted by Nawab Naseemuddin who has offered a reward of Rs.5000/- to the winner."
Bombay In The Night's Embrace,Thriller,1967-01-01,['Khwaja Ahmad Abbas'],['Khwaja Ahmad Abbas'],['Thriller'],"['suspenseful', 'neutral', 'tense']",A news reporter becomes a suspect after a robbery and a homicide aboard an aircraft.
Johar in Bombay,"Comedy, Drama, Fantasy",1967-01-01,['R.P. Ashk'],['Shantilal Soni'],"['Comedy', 'Drama', 'Fantasy']","['serious', 'neutral', 'lighthearted']",An antique shop keeper inadvertently releases a wish-granting Genie from a lamp.
Dulhan Ek Raat Ki,Drama,1967-01-01,"['Satish Bhatnagar', 'Thomas Hardy', 'D.D. Kashyap']",['D.D. Kashyap'],['Drama'],"['serious', 'neutral', 'uplifting']","Arrogant son of a wealthy, blind woman, rapes his mother's nurse and abandons her. She gets pregnant but the child does not live, and she continues to live her life and follow up on her love life, only to face the past, and her ""reformed"" rapist."
Wahan Ke Log,"Science Fiction, Drama, Action, Adventure",1967-01-01,['K.B. Pathak'],['Nisar Ahmad Ansari'],"['Science Fiction', 'Drama', 'Action', 'Adventure']","['tense', 'serious', 'dark']","Armed with laser guns, three-fingered virtually invincible Martians collude with gangsters to invade Earth."
Mera Bhai Mera Dushman,"Drama, Family",1967-01-01,"['Premnath Malhotra', 'Shyama', 'Jagdish Kumar']",['Mohammed Hussain'],"['Drama', 'Family']","['neutral', 'serious', 'emotional']",Not found overviwe
